No DE LIBRO,TITULO DEL LIBRO (MEMORIA INSTITUCIONAL. MI),AUTOR,AÑO
374,Diagnóstico Ambiental Preliminar de la Zona del Alto Uré en la Cuenca Alta del Río San Jorge. Zona Amortiguadora Parque Nacional Natural Paramillo. Informe Final.,CVS/ ,"2,000"
375,Diseño del SIG del Parque Nacional Natural Paramillo. Informe Final. Vol. II. Documento de Conceptualización de Modelos.,CVS/Universidad de Córdoba,"2,003"
376,Identificación de Actividades prioritarias para el Parque Nacional Natural de Paramillo.,CVS/ URRÁ,"1,996"
377,Plan Nacional Director del Sistema de Parques nacionales y Otras Áreas Protegidas. Revista del Sistema de Parques Nacionales de Colombia,CVS/ Ministerio del Medio Ambiente,"1,996"
378,Diagnóstico Ambiental Preliminar de la Zona del Alto Uré en la Cuenca Alta del Río San Jorge. Zona Amortiguadora Parque Nacional Natural Paramillo. Informe Final.,CVS/ Ministerio del Medio Ambiente,"2,000"
379,Inventario de Pozos. Fase Legalización de Pozos,CVS/ Zoraya Y. Martínez Lara,"1,996"
381,"Control de Inundaciones, Erosión y Prevención de Desastres.  Cuenca Río Sinú.  Obras de Emergencia",CVS,"1,993"
382,Proyecto Hidroeléctrico del Alto Sinú.  Estudio de Intrusión Salina en el Río Sinú.,CVS/Gómez Cajiao Y Asociados CIA. Ltda.-Ingenieros Consultores,"1,985"
383,Estudio de Impacto Ambiental por Minería en la Ciénaga de Ayapel.  Volumen 3,CVS/ Centro de Investigaciones Ambientales,"1,990"
384,Exploración y Evaluación de Aguas Subterráneas - Formulación de Captura e Instructivos Banco Nacional de Datos Hidrogeológicos.,CVS/ Ministerio de Minas y Energía -INGEOMINAS,"2,001"
751,PAT 1995-1997,CVS,"2,006"
386,Estudio de la Cobertura Vegetal e Inventario de Fauna y Flora del Embalse y Zona de Protección de Urrá I.,CVS/ AMBIENTEC/ CORELCA,"1,991"
387,Estudio y Diseño.  Construcción Sistema de Acueducto.,CVS/ Alcaldía de Cereté -Secretaría de Planeación.,"1,998"
388,Memorias de Diseño de Sistemas de Acueductos.,CVS/ P.N.R,"1,993"
389,Estudios Básicos para un Plan de Ocupación del Espacio. Análisis Petrográficos. Longitud entre Urrá I y Tierralta.  Suelos. Glosario. Anexos,CVS/ CIAF,"1,985"
390,"Estudios y Diseños de las Obras de Ingeniería para la Protección Contra la Erosión Lateral Causada por el Río Sinú en Tierralta, Córdoba. Planos.     ( Informe final 397)",CVS/ Fundación Universitaria Del Norte. ,"2,005"
391,"Determinación de los Niveles de Pesticidas en los Ríos  Sinú, San Jorge  y Canalete, con el fin de darle soporte al Diagnóstico del Plan de Ordenamiento Territorial de  las Cuencas.(2 ejemplares)",CVS/  Universidad de Córdoba,"2,005"
392,"Evaluación   de los Impactos Generados sobre la Calidad del Agua, Suelos y Recursos Hidrobiológicos por la Actividad Camaronera en el Antiguo Delta del Río Sinú.( 2 ejemplares)",CVS/ Universidad  de Bogotá Jorge Tadeo Lozano- Facultad de Biología Marina.,"2,006"
393,"Monitoreo de Pesticidas Organofosforados, Glifosato, Paracuat, Triazinas y Carbamatos en los Ríos Sinú, San Jorge y Canalete, dentro del Plan de Ordenamiento Territorial de las Cuencas de los Ríos Sinú, San Jorge y Canalete. (2 ejemplares)",CVS/  Universidad de Córdoba,"2,006"
394,Comunidad de Hidrobiota presente en el Sistema Estuarino de la Bahía de Cispatá. (ATLAS),CVS/ Universidad  de Bogotá Jorge Tadeo Lozano- Facultad de Biología Marina.,"2,006"
395,"Dinámica Estructural de la Comunidad Fitoplanctónica en la Bahía de Cispatá, Asociada a la Industria Camaronera Local",CVS/ Universidad  de Bogotá Jorge Tadeo Lozano- Facultad de Biología Marina.,"2,006"
396,"Caracterización, Diagnóstico y Zonificación de los Manglares del Departamento de Córdoba",CVS/ Walter Gil Torres / Giovanni Ulloa Delgado,"2,001"
397,"Estudios y Diseños de las Obras de Ingeniería para la Protección contra la Erosión Lateral Causada por el Río Sinú en Tierralta, Córdoba. Informe Final.( Planos 390)",CVS/ Universidad  Del Norte. ,"2,005"
398,"Estudio para Definir Yacimientos de Áridos a Través del Método de Prospección Eléctrica ( Sondeo Eléctrico Vertical ) en tres áreas, ubicados en los sectores de Mata de Caña, Montería y Las Palomas, Departamento de Córdoba. Informe Técnico.",CVS/ Hidrogeocol LTDA.. ,"2,004"
399,"Contribución al Conocimiento de las Subclase Copepoda (Milne-Edwards, 1840) en un Ecosistema Estuarino del Caribe Colombiano (Bahía Cispatá) durante los meses de Agosto a Diciembre  de 2005.",CVS/ Universidad  de Bogotá Jorge Tadeo Lozano- Facultad de Biología Marina.,"2,005"
400,"Caracterización del Recurso Hídrico Superficial e Inventario de Infraestructura Sanitaria en las Cuencas del Río Broqueles, Caño La Balsa y Microcuencas Aledañas.",CVS/ Universidad  Pontificia Bolivariana / Escuela de Ingeniería y Arquitectura ,"2,005"
401,Diagnóstico Regional de Producción Más Limpia.  Informe Final,CVS/ Centro Nacional de Producción Más Limpia. ,"2,006"
402,Análisis e Identificación de un Sistema de Instrumentos de Política para Apoyar la Propuesta del Distrito de Manejo Integrado- DMI para la Bahía de Cispatá ( 2 ejemplares),CVS/ HUMBOLDT.. ,"2,006"
403,Política Regional de Producción Más Limpia - Informe Final,CVS/ Centro Nacional de Producción Más Limpia. ,"2,006"
404,"Diagnostico Hídrico Subterráneo de los Municipios de Chinú, Sahagún, San Andrés de Sotavento, Pueblo Nuevo, Planeta Rica, Buenavista, La Apartada y Montelíbano.(2 ejemplares)  (ANEXOS El Siguiente)",CVS/  Universidad de Córdoba,"2,005"
405,Formación Catastral Municipio de Montelíbano Rural y Centros Poblados.( 2 ejemplares),"CVS/  Instituto Geográfico ""Agustín Codazzi"" Territorial Córdoba","2,005"
406,Gestión Ambiental y Social en las Exportaciones a la Unión Europea. Informe Final,CVS/ Centro Nacional de Producción Más Limpia. ,"2,006"
407,Producción Más Limpia Aplicada en el Sector Productivo del Departamento de Córdoba,CVS/ Centro Nacional de Producción Más Limpia. ,"2,006"
409,Caracterización y Diagnóstico de las Poblaciones de Caimán Cocrodylus Fuscus y su Hábitat Natural. ,CVS/ Denis L. Cavanzo Ulloa / Giovanni Ulloa Delgado,"2,003"
410,"Diagnóstico y Acciones de Conservación de Especies Acuáticas Amenazadas en la Ecorregión del Bajo Sinú. Informe Final: Tortuga del río, Carranchina, Manatí, Delfín Costero",CVS/ Conservación Internacional/ Fundación Omacha,"2,004"
411,Caracterización y Diagnóstico de las Poblaciones de Caimán Cocrodylus acutus y su Hábitat Natural. Informe Final Fase I,"CVS/ Minambiente, Acofore, OIMT, Fundación natura, UAESPNN, Agrosoledad. - Giovanni Ulloa y Clara Sierra","2,002"
462,Manejo de la Especie Agouti paca. Informe Final.,CVS/Fundación Biozoo,"2,006"
412,"Protocolo de Manejo Post-Decomiso y Disposición de Animales en el Centro de Atención y Valoración de Fauna Silvestre CAV de la CVS, Montería- Colombia ( 2 ejemplares)",CVS/ Universidad de Córdoba,"2,006"
413,Sistema de Indicadores de Seguimiento y Evaluación de la Política Ambiental Regional de la CVS. Informe Final,CVS/Pontificia Universidad Javeriana,"2,006"
414,"Inventario Ecoturístico de la Zona Costanera del Departamento de Córdoba. ( Canalete, Los Córdobas, Moñitos, Puerto Escondido, San Bernardo del Viento y San Antero)",CVS/ EAT PROAMBIENTAL,"2,002"
415,Evaluación de la Vulnerabilidad Intrínseca de los Acuíferos a la Contaminación en los municipios de Sahagún y Chinú en el Departamento de Córdoba.( 2 Ejemplares),CVS/ Universidad De Córdoba,"2,005"
416,"Digitalización de la Información  Estructurada en los Contratos No 72, 74,83,86,87- 2004",CVS/ Instituto Geográfico Agustín Codazzi,"2,006"
417,Valoración Económica y Ecológica de Humedal de Ayapel. Informe Final. Tomo I ,CVS/Universidad Nacional de Colombia,"2,005"
418,Valoración Económica y Ecológica de Humedal de Ayapel. Informe Final. Tomo II. Anexos ,CVS/Universidad Nacional de Colombia,"2,005"
419,"Proyecto piloto de ecoturismo mediante el uso sostenible de la fauna y flora silvestre en la ciénaga de Bañó, Cotocá Arriba. Córdoba",CVS/ Conservación Internacional,"2,006"
420,Estudio Manejo Integral Ciénaga de Ayapel.  Tomo I. Descripción General de la zona de estudio. Aspectos socioeconómicos.,CVS/Ecoestudios,"1,989"
421,Estudio Manejo Integral Ciénaga de Ayapel.  Tomo III. Presentación del Plan de Ordenamiento y Manejo. Plan de Inversión,CVS/Ecoestudios,"1,989"
422,"Plan de Manejo Integral para la cuenca hidrográfica de arroyo Hondo, municipio de Purísima, Lorica y San Antero, departamento de Córdoba (2 tomos) ",CVS/FONADE,"2,005"
423,"Zonificación de amenazas naturales en los cascos urbanos de los municipios de Canalete, Los Córdobas, Momil y Puerto Escondido, cabeceras corregimentales  El Ébano, El Pantano y zona rural del municipio de Momil en el departamento de Córdoba.","CVS/ Universidad del Sinú ""Elías Bechara Zainum""","2,006"
424,"Plan de Manejo Integral para la cuenca hidrográfica del río Uré, municipio de Montelíbano y Puerto Libertador , departamento de Córdoba.",CVS/FONADE,"2,005"
425,"Plan de Manejo Integral para la cuenca hidrográfica de Arroyo Grande, municipio  de San Carlos, departamento de Córdoba.  ",CVS/FONADE,"2,005"
426,Estudio Hidrogeológico en la Zona de Influencia de la Ciénaga de Ayapel que permite definir la relación Hidráulica Existente entre las Ciénaga y los Acuíferos Asociados. Anexos.1,CVS/ Hidrogeocol Ltda.,"2,004"
427,Estudio Hidrogeológico en la Zona de Influencia de la Ciénaga de Ayapel que permite definir la relación Hidráulica Existente entre las Ciénaga y los Acuíferos Asociados. Anexos.2,CVS/Hidrogeocol,"2,004"
428,Estudio Hidrogeológico en la Zona de Influencia de la Ciénaga de Ayapel que permite definir la relación Hidráulica Existente entre las Ciénaga y los Acuíferos Asociados. Informe Final. Tomo I,CVS/Hidrogeocol Ltda.,"2,004"
429,"Estudios y Diseños Hidráulicos de la subcuenca Los Araujos y Zona de  Expansión de la Zona Sur de Montería, en los barrios Furatena, Nueva Esperanza y Villa Paz, de acuerdo con el Plan Maestro de Alcantarillado Pluvial de la Ciudad de Montería, incluye los correspondientes análisis estructurales y geotécnicos.  Informe Final. Diseño Hidráulico y Estructural.",CVS/Consorcio Araujos 2005,"2,006"
430,"Estudios y Diseños Hidráulicos de la subcuenca Los Araujos y Zona de  Expansión de la Zona Sur de Montería, en los barrios Furatena, Nueva Esperanza y Villa Paz, de acuerdo con el Plan Maestro de Alcantarillado Pluvial de la Ciudad de Montería, incluye los correspondientes análisis estructurales y geotécnicos.  Informe Complementario.",CVS/Consorcio Araujos 2005,"2,006"
431,Formulario de Estrategias y Acciones para la Recuperación de Áreas Degradadas por Minería en el Arroyo las Piedras del municipio de Ciénaga de Oro en el Departamento de Córdoba. Informe Final,CVS/Universidad EAFIT,"2,006"
432,Estrategia para el Manejo Integral de Residuos Sólidos en el Departamento de Córdoba . Informe final de diseño del relleno sanitario de la región 1. Versión 1. Informe Principal,CVS/ Universidad Sergio Arboleda.,"2,004"
433,"Estrategia para el Manejo Integral de Residuos Sólidos en el Departamento de Córdoba. Propuesta de Regionalización del departamento de Córdoba,  a partir de criterios técnicos, económicos y ambientales  asociados a la Gestión Integral de Residuos Sólidos. Lineamientos y Estudio de Caso Región 1. Alcance 3.Tomo 2. Asociación Municipios (2 ejemplares)",CVS/Universidad Sergio Arboleda,"2,004"
434,Estrategia para el Manejo Integral de Residuos Sólidos en el Departamento de Córdoba. Informe Final de Diseño del Relleno Sanitario de la Región 1. Versión 1. Informe Principal.(2 ejemplares),CVS/ Universidad Sergio Arboleda.,"2,004"
461,"Estudio para Definir Yacimientos de Áridos a través del Método de Prospección Eléctrica (sondeo eléctrico vertical) en tres áreas ubicados en los Sectores de Mata de Caña, Montería y Las Palomas. Anexo II",CVS/Hidrogeocol,"2,004"
435,Estrategia para el Manejo Integral de Residuos Sólidos en el Departamento de Córdoba. Orientaciones para la elaboración del Plan de Gestión Integral de Residuos Sólidos. 1.  Marco Legal. 2.  Documentos de Referencia. 3.  Organización municipal para la elaboración de PGIRS. 4.  Alcance. ( 2 ejemplares),CVS/Universidad Sergio Arboleda.,"2,004"
436,"Estrategia para el Manejo Integral de Residuos Sólidos en el Departamento de Córdoba. Propuesta de Regionalización  del departamento de Córdoba, a partir de criterios  técnicos, económicos y ambientales asociados a la Gestión Integral de Residuos Sólidos. Alcance 3. Resultados Caracterización.( 2 Ejemplares)",CVS/Universidad Sergio Arboleda ,"2,004"
437,"Estrategia para el Manejo Integral de Residuos Sólidos en el Departamento de Córdoba. Propuesta de Regionalización del departamento de Córdoba, a partir de criterios técnicos, económicos y ambientales asociados  a la Gestión Integral de Residuos Sólidos. Alcance 1. Versión 1. Informe Principal. ( 2 ejemplares)",CVS/Universidad Sergio Arboleda,"2,004"
438,Proyecto  Manejo Integral de Residuos Sólidos en la Zona Centro de Montería. MIRS ,CVS/Pontificia Universidad Javeriana,"2,004"
439,"Plan de Manejo para la Restauración, Compensación y Recuperación Ambiental del Sitio donde está ubicado el Basurero de Montería. Informe Final. (2 ejemplares) ",CVS/UT Ambiental Consultores.,"2,006"
440,Diagnóstico Ambiental de la Cuenca Hidrográfica del Río San Jorge en el Departamento de Córdoba. Capítulos 1-2-3.( 2 ejemplares) POMCA,CVS/FONADE,"2,004"
441,Diagnóstico Ambiental de la Cuenca Hidrográfica del Río San Jorge en el Departamento de Córdoba. Capítulos 4-5.( 2 ejemplares),CVS/FONADE,"2,004"
442,Diagnóstico Ambiental de la Cuenca Hidrográfica del Río San Jorge en el Departamento de Córdoba. Capítulos 6-7-8 ( 2 ejemplares) POMCA,CVS/FONADE,"2,004"
444,Informe de amenaza sísmica de las cuencas de los ríos San Jorge y Canalete.,CVS/Mauricio Gallego Silvia,"2,005"
445,Diagnóstico Ambiental de la Cuenca Hidrográfica del Río Canalete. Cap 1-2-3 ( POMIC),"CVS/Ministerio de Ambiente, Vivienda y Desarrollo Territorial/ Fonade.","2,004"
446,Diagnóstico Ambiental de la Cuenca Hidrográfica del Río Canalete. Cap 4-5 ( POMIC),"CVS/Ministerio de Ambiente, Vivienda y Desarrollo Territorial/ Fonade.","2,004"
447,Diagnóstico Ambiental de la Cuenca Hidrográfica del Río Canalete. Cap 6-7-8 ( POMIC),"CVS/Ministerio de Ambiente, Vivienda y Desarrollo Territorial/ Fonade.","2,004"
448,Diagnóstico Ambiental de la Cuenca Hidrográfica del Río Canalete. Cap 9-10-11 ( POMIC),"CVS/Ministerio de Ambiente, Vivienda y Desarrollo Territorial/ Fonade.","2,004"
449,Diagnóstico Ambiental de Empresas Agroindustriales del departamento de Córdoba. ( anexos 661),CVS/Universidad Pontificia Bolivariana ,"2,005"
450,Estudio de los Problemas de Erosión del Río Sinú en el Sector de Cantarrana.,"CVS/ Universidad Nacional de Colombia, Medellín.","2,004"
451,"Determinación de las concentraciones de Mercurio Presente en Aguas, Sedimentos y Material Biológico de las Ciénaga de Ayapel y Áreas de Influencia. ",CVS/ Universidad de Córdoba,"2,005"
452,Plan de Ordenamiento Minero Ambiental para los Materiales de Construcción del Departamento de Córdoba. (POMAC) Resumen Ejecutivo. ,"CVS/ Unidad de Planeación Minero-Energética UPME, Universidad EAFIT","2,006"
453,Plan de Ordenamiento Minero Ambiental para los Materiales de Construcción del Departamento de Córdoba. (POMAC) Proyectos Estratégicos. Informe Final Tomo II. ,"CVS/Unidad de Planeación Minero-Energética UPME, Universidad EAFIT","2,006"
454,Guía para Obtención del Registro Sanitario de Preparaciones Farmacéuticas a base de Recursos Naturales.,CVS/ Gustavo Esquivel Rubio,"2,004"
455,Proyecto de Ordenamiento y Manejo de las Laderas de Sierra Chiquita en el Municipio de Montería. Informe Final,CVS/Corpocaldas,"2,006"
456,"Levantamientos Topográficos de los Caños  Aguas Prietas y Bugre en los Municipios de Cereté, San Carlos, Ciénaga de Oro, Cotorra, Lorica y Montería en el Departamento de Córdoba. Informe Final","CVS/Universidad Nacional de Colombia, Medellín","2,006"
457,"Centro de Conservación de Biodiversidad y Desarrollo Sostenible del Alto Sinú, municipio de Tierralta.  Octavo Informe Bimensual de Actividades.",CVS/Fundación Biozoo,"2,004"
458,"Estudio de los Procesos Costeros que toman Lugar en las inmediaciones Paso Nuevo, La Rada, Cristo Rey, Puerto Escondido, Los Córdobas y Puerto Rey- Minuto, en la Costa Cordobesa. Resumen Ejecutivo  ",CVS/Invemar,"2,003"
459,"Estudio para Definir Yacimientos de Áridos a través del Método de Prospección Eléctrica (sondeo eléctrico vertical) en tres áreas ubicados en los Sectores de Mata de Caña, Montería y Las Palomas. Resumen.",CVS/Hidrogeocol,"2,004"
460,"Estudio para Definir Yacimientos de Áridos a través del Método de Prospección Eléctrica (sondeo eléctrico vertical) en tres áreas ubicados en los Sectores de Mata de Caña, Montería y Las Palomas. Anexo I.",CVS/Hidrogeocol,"2,004"
463,"Diagnóstico de la utilización, Disposición Final y Embalaje de los envases de agroquímicos utilizados en la agricultura en las Ecorregiones del Alto Sinú, Sabanas y Costanera del Departamento de Córdoba.",CVS/Universidad de Córdoba,"2,005"
464,Guía para Obtención del Certificado Ecológico para Productos artesanales derivados de la Caña Flecha.,CVS/Gustavo Adolfo Esquivel Rubio,"2,004"
465,Implementación   de Programas de Producción Más Limpia en los Sectores Avícola y Porcícola del Departamento de Córdoba.,CVS/ Universidad de Córdoba,"2,005"
466,Implementación de un Programa de Capacitación y Fomento de la Apicultura como un Proceso Alternativo limpio de Producción en las comunidades Rurales Vulnerables del Departamento de Córdoba,CVS/ Universidad de Córdoba,"2,005"
467,"Plan de Manejo y Estudio Genético de la Especie Agouti paca, en Cautiverio cerrado en el Municipio de Tierra Alta, en e l Departamento de Córdoba. Segundo Informe Semestral de Actividades. Tomo 2",CVS/Fundación Biozoo y Otros,"2,003"
468,Efectos del proyecto Urrá I sobre el patrón de Drenaje y los Humedales de la Margen Izquierda del Valle del río Sinú,CVS/Urrá/ Gómez Cajiao.,"1,998"
469,Diagnóstico y Evaluación Ecológica del Antiguo Delta del Río Sinú con énfasis en Bahía de Cispatá y Ciénagas Aledañas. Informe Final. Fase I,CVS/Invemar,"1,998"
470,"Manejo y Producción de Plántulas de Maderables, Frutales y Ornamentales en el Vivero de Mocarí. Propuesta Técnica.",CVS/Rosario Ganem,"1,990"
471,Manejo Silvicultural del bosque de Mangle del antiguo delta del río Sinú. Estudio de Crecimiento Segunda Medición.,CVS/Forestales FVE Ltda.,"1,993"
472,Inventario de Especies Vegetales de las orillas del Río Sinú útiles para la Formulación del Plan de estabilización de sus Taludes. Informe Final.,CVS/Fundación Biozoo,"2,004"
473,Uso Actual y Potencial de la Fauna Silvestre en la Ciénaga Grande del Bajo Sinú. Informe Final,"CVS/Universidad Nacional de Colombia, Bogotá","2,005"
474,Protección y Conservación de los Quelonios Continentales en el Departamento de Córdoba. Informe Final,"CVS/Universidad Nacional de Colombia, Bogotá","2,005"
475,Caracterización de Flora y Fauna de los Humedales de Córdoba. Informe Final,"CVS/Universidad Nacional de Colombia, Bogotá","2,004"
476,Plan de Ordenamiento y Manejo de la Cuenca Alta y Media del río San Jorge.  Etapa de Diagnóstico. Socioeconomía - Recursos Mineros. Volumen IV,CVS/Ambientec Ltda.,"1,986"
477,Estudio de Línea Base Ciénaga Cintura. Informe Final. (2 tomos),CVS/Consis Ltda.,"1,997"
478,Plan de Ordenamiento y Manejo de la Cuenca Alta y Media del río San Jorge.  Etapa de Diagnóstico. Síntesis del diagnóstico.,CVS/Ambientec Ltda.,"1,986"
479,"Estudio demográfico, económico y social de la cuenca hidrográfica del río Sinú",CVS/ Harold Banguero Lozano y Otros.,"1,981"
480,Plan de Ordenamiento y Manejo de la Cuenca Alta y Media del río San Jorge.  Etapa de Diagnóstico. Cartografía y Aerofotografía. Suelos. Aptitud de Uso y manejo de Tierra. Usos de la Tierra . Vol. I,CVS/Ambientec Ltda.,"1,986"
481,"Estudio de Línea Base, Ciénaga El Arcial. Informe Final",CVS/ Ecosostenibles del Sinú,"1,997"
482,"Estudio de Línea Base, Ciénaga El Porro. Informe Final",CVS// Ecosostenibles del Sinú,"1,997"
483,Plan Maestro de Desarrollo Integral de la Cuenca Hidrográfica del río Sinú.( Contiene resumen ejecutivo y mapas).,CVS/BID,"1,980"
484,Volumen de Dieta Alimenticia para Camarón Marino con bandejas Circulares.,CVS/Margarita Arenas Tawill,"1,995"
486,"Estructura Poblacional de Post-larvas de Camarones penaeidae en la bahía de Cispatá, Golfo de Morrosquillo",CVS/Arriana Maria Moreno Mazo,"1,988"
487,Monitoreo y Estadística Pesquera en la Cuenca del Río Sinú con Participación Comunitaria. Quinto año Pesquero. Informe Final. Marzo 2001-Febrero 2002,CVS/ Urrá/ INPA,"2,002"
488,Producción Artificial de Alevinos de Bocachico. Informe Preliminar Final.,CVS/Colciencias,"1,988"
489,Índice de Crecimiento y Supervivencia de Larvas de Dorada.,CVS/Inderena/ Universidad de Córdoba ,"1,987"
490,Plan de Adecuación y Producción de Estanques.,CVS/Universidad de Córdoba/Icfes,"1,987"
492,"Plan de Manejo y Estudio Genético de la Especie Agouti paca, en Cautiverio cerrado en el Municipio de Tierra Alta, en el Departamento de Córdoba. Segundo Informe Semestral de Actividades. Tomo I",CVS/Fundación Biozoo y Otros,"2,003"
493,"Plan de Manejo y Estudio Genético de la Especie Agouti paca, en Cautiverio cerrado en el Municipio de Tierra Alta, en el Departamento de Córdoba. Tercer Informe Semestral de Actividades. Tomo I",CVS/Fundación Biozoo y Otros,"2,003"
495,Evaluación de la Captura pesquera en la cuenca del Río Sinú. Abril 1983/ marzo 1984 . Informe Final,CVS/,"1,984"
496,"Plan de Manejo y Estudio Genético de la Especie Agouti paca, en Cautiverio cerrado en el Municipio de Tierra Alta, en el Departamento de Córdoba. Tercer Informe Semestral de Actividades. Tomo II. ",CVS/Fundación Biozoo y Otros,"2,003"
497,Taller de Evaluación del Estado de las Poblaciones de Manatíes en Colombia.,CVS/Otros,"2,004"
498,"Estudio Preliminar de los hábitos Alimenticios y Madurez sexual en la Tilapia, presente en la parte baje de la cuenca hidrográfica del río Sinú. Documento Final",CVS/Juanita Burgos de Bedout,"2,001"
499,Determinación de algunos aspectos biológicos del Bocachico en la zona media y baja de la Cuenca del río Sinú en Córdoba. Documento Final,CVS/Daniel Restrepo Montoya,"2,001"
500,Cultivo piloto de Guartinaja (Agouti paca). Estudio de impacto ambiental ,CVS/ Empresa Urrá S.A. E.S.P.,"1,998"
501,Curso Taller Técnica de Manejo y Concertación del Programa Nacional para la Conservación de las Tortugas Marinas y Continentales en Colombia.  -Memorias -,CVS/CORPOGUAJIRA/Minambiente,"2,001"
502,Aspectos Biológicos y Etológicos de Delfines Costeros con Énfasis en la especie Sotalia Fluviatilis en la Bahía de Cispatá.,"CVS/ - Fundación Universitaria de Bogotá ""Jorge Tadeo Lozano"" -José Manuel Ávila Olarte","1,995"
503,Prefactibilidad de la Piscicultura en Córdoba.,CVS,"1,991"
504,"Plan de Manejo y Estudio Genético de la Especie Agouti paca, en Cautiverio cerrado en el Municipio de Tierra Alta, en el Departamento de Córdoba. Primer Informe Semestral de Actividades. Tomo III",CVS/Fundación Biozoo y Otros,"2,002"
505,Valoración Económica de los Humedales. Guía para Decisores y Planificadores ,CVS/RAMSAR,"1,997"
508,Estudio de Factibilidad para el Cultivo de Camarones en Cautiverio. Distrito la Doctrina,CVS/Ministerio de Agricultura - HIMAT,"1,985"
510,"Crecimiento  Ponderal Sobrevivencia del  Bocachico  (Prochilodus reticulatus) Steindachner, 1878, en Estanques Rurales en el Departamento de Córdoba.",CVS/Luis Francisco Rojas Arenas,"1,981"
511,"Formulación e Implementación de una Estrategia para la Conservación de la Biota Cordobesa. Tortuga icotea (Trachemy scripta callirostris), Tortuga de Río ( Podocnemis lewyana), Tortuga Carranchina ( Batrachemys dahli) Tortuga Morrocoy ( Geochelone carbonaria) Tomo 1 /4 - Informe Final-",CVS/CONSERVACIÓN INTERNACIONAL ,"2,005"
512,"Proyecto de Implementación Plan de Manejo y Conservación del Manatí Antillano ( Trichechus manatus manarus ) y La Nutria . Neotropical  (Lontra longicaudis),  en la Cuenca Baja del Río Sinú. Informe Final. Tomo 2/4",CVS/CONSERVACIÓN INTERNACIONAL ,"2,006"
513,Proyecto de la Aplicación de la Metodología de Producción mas Limpia en Hospitales de Córdoba. Informe Final. Tomo I ,CVS/  Centro Nacional de Producción Más Limpia y Tecnologías Ambientales.,"2,006"
514,Proyecto de la Aplicación de la Metodología de Producción mas Limpia en Hospitales de Córdoba. Informe Final. Tomo II,CVS/  Centro Nacional de Producción Más Limpia y Tecnologías Ambientales.,"2,006"
515,Elaboración del Primer Inventario de Emisiones en la Jurisdicción de la CVS y Diagnóstico Ambiental de la Calidad Acústica del Municipio de Montería. Resumen Ejecutivo,CVS/Universidad de Medellín,"2,006"
516,Implementación de Sistemas Agrosilvopastoriles para Producción Más Limpia en el Sector Ganadero del Departamento de Córdoba. Informe Final,CVS/CORPOICA/GANACOR,"2,006"
517,Monitoreo y Control de Niveles de Agua Subterránea en los Municipios de Sahagún y Chinú. Informe Final.,CVS/Universidad de Córdoba,"2,005"
518,Manual de Funcionamiento para la Cría de Curí en Zoocriaderos. ,CVS/ PRIDECU,"1,977"
519,Primera Reunión Grupo de Trabajo Sobre Cultivo de Bivalvos en Colombia - Punta Bello - San Antero.,CVS/ INPA,"1,994"
520,Elaboración del Primer Inventario de Emisiones en la Jurisdicción de la CVS y Diagnóstico Ambiental de la Calidad Acústica del Municipio de Montería. ,CVS/Universidad de Medellín,"2,006"
521,Capacitación Ambiental para las Comunidades de Pescadores de la Cuenca Media del Río Sinú.,CVS/ASPROCBET,"2,002"
522,"Investigación, Producción y Utilización de Entomopatógenos Nativos para el Control Biológico de Mosca Blanca (Bemisia tabaci) en Hortalizas en los Municipios de Montería y Cereté, Departamento de Córdoba.",CVS/ ICA,"2,003"
524,Análisis de las causas y monitoreo de la erosión litoral en el departamento de Córdoba.  Informe Final.,CVS/Universidad EAFIT.,"2,006"
526,"Estudio Diagnóstico Integral y Caracterización de la Ciénaga de la Pacha y Sus Zonas de Influencia, para abordar la Biorecuperación, Manejo y Aprovechamiento Sostenible de sus Recursos Naturales, Sabana Nueva Municipio de San Pelayo.",CVS/Duilio Centanaro Martínez/ Jesús Ballestero Correa,"2,004"
527,"Inventario de Recursos Naturales para Abordar el Proceso de Biorecuperación de la Ciénaga de Bañó, Cotocá Arriba, Municipio de Lorica. Términos de Referencia",CVS/Duilio Centanaro Martínez - Consultor ,"2,002"
528,"Caracterización de Flora y Fauna en la Ciénaga de Bañó, Municipio de Lorica",CVS/Duilio Centanaro Martínez- Consultor. ,"2,002"
529,"Caracterización Física, Biótica y Socioeconómica del Humedal Parque Ecológico Caño Pindo y su Zona de Influencia.",CVS/Carlos Octavio Zapata Cordero - Director F.E.P.,"2,002"
530,Producción Masiva de Post Larvas de Camarón de Agua Dulce (Macrobrachium rosenbergii). Informe Preliminar -Estación Piscícola -Lorica.,CVS ,"1,989"
531,"Policultivo de Peces en Estanques de Cachama Blanca (Colossoma bidens), Cachama Negra  (Colossoma macropomun) y Bocachico (Procholodus reticulatus)  en Los Gómez , Municipio de Lorica Córdoba",CVS/ Robinsón Rosado -CORFAS,"1,991"
532,Estimación de algunos aspectos Biológicos del Bocachico Aguas Abajo en la Cuneca del Río Sinú. Documento Borrador.,CVS/Daniel Restrepo Montoya,"2,001"
533,"Manejo de los Estadios Larvales en el Laboratorio, su Influencia en el Crecimiento y Supervivencia en las Piscinas de Engorde del Camarón Marino.","CVS/ DNP /Centro de Investigaciones Marina ""Punta Bello""","1,993"
534,Estación Piscícola de Lorica,CVS/,"1,985"
