No DE LIBRO,TITULO DEL LIBRO (MEMORIA INSTITUCIONAL. MI),AUTOR,AÑO
43,"Río Sinú, Diseño de Obras de Corrección Fluvial.     Informe Final. Volumen 5               ","CVS/ Empresas Públicas Municipales de Montería, FONADE                                                                                                                                                                                                                                                           ","1,978"
44,Estudio de los Factores Bióticos y Abióticos del Río Sinú  y sus Ciénagas. Informe  Final.  Volumen 5,"CVS /Corporación Eléctrica de la Costa Atlántica CORELCA,  Centro de Investigación-CIUC ","1,985"
52,Hidrología del Río Sinú,Societe Centrale Pour Lèquipement du territoire international,"1,978"
57, Diagnóstico y Estrategias,CVS/  Banco Interamericano de Desarrollo BID ,"1,979"
58,Plan Maestro y Desarrollo Integral de la Cuenca Hidrográfica del Río Sinú. Prediagnóstico,CVS/Banco Interamericano de Desarrollo BID,"1,979"
60,Proyecto Hidroeléctrico del Alto Sinú. Inventario de Captaciones y Descargas en el Río Sinú," CVS/Interconexión Eléctrica S.A. ISA, Gómez, Cajiao y asociados.","1,981"
61,"Proyecto Hidroeléctrico de Urrá.  Estudio de los Factores Bióticos y Abióticos del Río Sinú y sus Ciénaga, Macrofitas Acuáticas. Informe Final Vol. III","CVS/ Corporación Eléctrica de la Costa Atlántica, Universidad de Córdoba, Centro de Investigaciones CIUC                                                                                                                                                                                                                                          ","1,985"
62,Desarrollo Hidroeléctrico del Alto Sinú. Estudio de Factibilidad. Costos y Programas de Construcción. Equipos de Construcción. Obras Adicionales: Campamento-Carreteras y Transporte. VOL. III,"CVS/ Corporación Eléctrica de la Costa Atlántica,  Fondo Nacional de Proyectos de Desarrollo FONADE ","1,977"
63,Plan de Ordenamiento y Manejo de la Zona de Manglar Antiguo Delta Río Sinú. Informe Final.  Anexos.,CVS /INCCO Ltda. Ingenieros,"1,989"
64,"Desarrollo Hidroeléctrico del Alto Sinú. Estudio de Factibilidad, Esquemas de Proyectos. Criterios de Diseño. Datos y diseños Hidráulicos. Volumen II","CVS/Corporación Eléctrica de la Costa Atlántica,  Fondo Nacional de Proyectos de Desarrollo FONADE       ","1,977"
65,La Cuenca del Sinú: Región para el futuro de Colombia. Anexos,CVS,"1,990"
66,Plan de Ordenamiento y Manejo de la Zona de Manglar Antiguo Delta Río Sinú. Diagnóstico,CVS/  INCCO Ltda.  ,"1,988"
67,Proyecto Hidroeléctrico del Alto Sinú. Informe de Hidrometría.,"CVS/ CORELCA, Gómez Cajiao","1,984"
68,Proyecto Hidroeléctrico del Alto Sinú. Base para el programa de Desarrollo comunitario. Volumen 2 (2 TOMOS),CVS/Gómez Cajiao,"1,985"
69,"Plan de Ordenamiento y Manejo de la Zona de Manglar, Antiguo delta del Río Sinú. Informe final. Volumen 1",CVS/ INCCO Ltda.,"1,989"
71,Estudio de los Factores Bióticos y Abióticos del río Sinú y sus ciénagas. Informe Final. Volumen 6. Anexos,CVS/CIUC/CORELCA,"1,985"
72,"Estudio físico de la Hoya del Río Sinú y Planeación General de las obras para su Desarrollo. TOMO II, PLANOS",INDERENA/ Integral Ltda.,"1,968"
385,Factibilidad de la Promotora Minera en el Departamento de Córdoba.,CVS/ INPRO LTDA.,"1,992"
73,Proyecto Construcción de Cultura Ambiental desde las Escuelas y Comunidades Cordobesas-CAEC-   Colegio Alberto Alzate Patiño,CVS/ Joaquín Rojano De La Hoz,"2,002"
74,Taller de Educación Ambiental Formal Escolar desde autoridades ambientales en Colombia. Memorias,"CVS, ASOCARS, Cooperación Alemana para el Desarrollo","2,004"
75,Proyecto Construcción de Cultura Ambiental desde las Escuelas y Comunidades Cordobesas-CAEC. Colegio Augusto Espinosa Valderrama,"CVS, Ariel Espinosa Chaparro","2,002"
76,"Proyecto Construcción de Cultura Ambiental desde las Escuelas y Comunidades Cordobesas-CAEC, Colegio Liceo Villanueva"," CVS, Emiro Villadiego Hoyos","2,002"
77,"Proyecto Construcción de Cultura Ambiental desde las Escuelas y Comunidades Cordobesas-CAEC, Institución Educativa San José de Uré, Montelíbano","CVS, José Farid Cotera Sierra","2,002"
78,"Proyecto Construcción de Cultura Ambiental desde las Escuelas y Comunidades Cordobesas-CAEC, Planes de Manejo de Residuos Sólidos Escolares, Proyectos productivos limpios.","CVS,  CORELCA, Fundación Universitaria Luis Amigó","2,004"
79,"Proyecto Construcción de Cultura Ambiental desde las Escuelas y Comunidades Cordobesas-CAEC, Colegio Paso Nuevo"," CVS, Kennedy Antonio Ruiz Gómez","2,002"
80,"Proyecto Construcción de Cultura Ambiental desde las Escuelas y Comunidades Cordobesas-CAEC, Escuela Jesús María Lugo"," CVS, Luis Miguel Pico Román ","2,002"
